accommodates,# of listings,# of bookings,ratio
3,905,38780.0,42.850828729281766
17,1,37.0,37.0
11,38,1397.0,36.76315789473684
16,245,8824.0,36.01632653061225
12,168,5997.0,35.69642857142857
2,3107,108472.0,34.91213389121339
14,76,2412.0,31.736842105263158
10,401,12069.0,30.09725685785536
9,95,2795.0,29.42105263157895
4,2469,72045.0,29.179829890643987
15,30,866.0,28.866666666666667
6,1550,43788.0,28.25032258064516
8,645,17380.0,26.94573643410853
5,606,14685.0,24.23267326732673
7,236,5543.0,23.48728813559322
13,31,621.0,20.032258064516128
21,3,49.0,16.333333333333332
1,452,7183.0,15.891592920353983
20,3,44.0,14.666666666666666
32,2,29.0,14.5
18,5,62.0,12.4
33,1,11.0,11.0
24,5,51.0,10.2
19,3,23.0,7.666666666666667
25,1,3.0,3.0
28,1,2.0,2.0
0,1,,
30,1,,
